POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;22;7;1:14.629;-;-;147.2;7;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
2;2;4;1:14.642;+0.013;+0.013;147.2;8;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
3;37;8;1:14.650;+0.021;+0.008;147.1;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
4;21;6;1:14.654;+0.025;+0.004;147.1;8;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
5;7;8;1:14.672;+0.043;+0.018;147.1;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;7;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
6;23;6;1:14.735;+0.106;+0.063;147.0;8;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
7;1;4;1:14.771;+0.142;+0.036;146.9;8;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;5;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
8;18;6;1:14.792;+0.163;+0.021;146.9;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
9;33;8;1:14.809;+0.180;+0.017;146.8;8;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
10;4;4;1:14.944;+0.315;+0.135;146.6;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
11;16;8;1:14.949;+0.320;+0.005;146.5;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;13;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
