POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;13;Classified;28;36:04.600;-;-;24;1:15.852;144.8;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;8;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
2;5;Classified;28;36:05.212;+0.612;+0.612;25;1:15.852;144.8;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
3;17;Classified;28;36:05.722;+1.122;+0.510;4;1:15.358;145.8;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;14;Norman;NATO;;FRA;FRA;NAT;;;;;;
4;37;Classified;28;36:06.815;+2.215;+1.093;28;1:15.661;145.2;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
5;9;Classified;28;36:07.767;+3.167;+0.952;28;1:15.969;144.6;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;4;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
6;2;Classified;28;36:08.461;+3.861;+0.694;28;1:15.994;144.5;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
7;25;Classified;28;36:08.974;+4.374;+0.513;25;1:16.036;144.5;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
8;7;Classified;28;36:09.677;+5.077;+0.703;27;1:16.022;144.5;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;7;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
9;4;Classified;28;36:12.446;+7.846;+2.769;6;1:15.988;144.5;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
10;22;Classified;28;36:13.440;+8.840;+0.994;25;1:16.234;144.1;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
11;1;Classified;28;36:14.234;+9.634;+0.794;25;1:16.200;144.1;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;5;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
12;16;Classified;28;36:14.743;+10.143;+0.509;6;1:15.734;145.0;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;13;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
13;48;Classified;28;36:16.023;+11.423;+1.280;24;1:16.304;143.9;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
14;23;Classified;28;36:16.880;+12.280;+0.857;24;1:16.307;143.9;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
