POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;5;7;1:14.308;-;-;147.8;7;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
2;13;6;1:14.536;+0.228;+0.228;147.4;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;8;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
3;9;4;1:14.585;+0.277;+0.049;147.3;8;Jaguar TCS Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;4;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
4;17;8;1:14.618;+0.310;+0.033;147.2;8;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;14;Norman;NATO;;FRA;FRA;NAT;;;;;;
5;25;8;1:14.631;+0.323;+0.013;147.2;8;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
6;8;7;1:14.725;+0.417;+0.094;147.0;7;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;10;Sam;BIRD;;GBR;GBR;BIR;;;;;;
7;94;8;1:14.732;+0.424;+0.007;147.0;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
8;3;6;1:14.771;+0.463;+0.039;146.9;8;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
9;51;8;1:14.832;+0.524;+0.061;146.8;8;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
10;11;8;1:14.865;+0.557;+0.033;146.7;8;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;24;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
11;48;4;1:14.877;+0.569;+0.012;146.7;8;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
