POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;5;8;1:09.775;-;-;164.6;8;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;10;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
2;9;7;1:09.777;+0.002;+0.002;164.6;9;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
3;11;6;1:09.942;+0.167;+0.165;164.2;8;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;24;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
4;48;8;1:09.966;+0.191;+0.024;164.1;8;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
5;51;6;1:09.998;+0.223;+0.032;164.1;8;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
6;16;3;1:10.017;+0.242;+0.019;164.0;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;14;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
7;37;8;1:10.036;+0.261;+0.019;164.0;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
8;25;8;1:10.157;+0.382;+0.121;163.7;8;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
9;8;3;1:10.263;+0.488;+0.106;163.4;8;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Sam;BIRD;;GBR;GBR;BIR;;;;;;
10;7;3;1:10.345;+0.570;+0.082;163.3;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;8;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
11;3;3;1:10.803;+1.028;+0.458;162.2;8;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
