POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;33;3;1:09.766;-;-;164.6;8;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
2;13;8;1:09.779;+0.013;+0.013;164.6;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;7;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
3;4;8;1:09.849;+0.083;+0.070;164.4;8;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
4;17;8;1:09.878;+0.112;+0.029;164.3;8;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;11;Norman;NATO;;FRA;FRA;NAT;;;;;;
5;94;7;1:09.899;+0.133;+0.021;164.3;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
6;1;3;1:10.001;+0.235;+0.102;164.1;6;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;5;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
7;22;6;1:10.036;+0.270;+0.035;164.0;8;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;28;Caio;COLLET;;BRA;BRA;COL;;;;;;
8;23;8;1:10.062;+0.296;+0.026;163.9;8;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;13;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
9;2;7;1:10.098;+0.332;+0.036;163.8;7;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
10;18;8;1:10.127;+0.361;+0.029;163.8;8;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
11;21;8;1:10.201;+0.435;+0.074;163.6;8;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
