POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;37;Classified;46;1:01:54.939;-;-;46;1:03.355;133.1;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;2;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
2;25;Classified;46;1:01:59.590;+4.651;+4.651;44;1:04.726;130.3;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;7;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
3;22;Classified;46;1:01:59.854;+4.915;+0.264;44;1:04.667;130.4;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;4;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
4;9;Classified;46;1:02:00.279;+5.340;+0.425;45;1:04.559;130.7;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
5;94;Classified;46;1:02:00.570;+5.631;+0.291;44;1:04.762;130.2;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
6;13;Classified;46;1:02:00.699;+5.760;+0.129;45;1:04.495;130.8;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;10;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
7;2;Classified;46;1:02:01.302;+6.363;+0.603;45;1:04.659;130.5;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
8;48;Classified;46;1:02:02.160;+7.221;+0.858;45;1:04.374;131.0;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
9;23;Classified;46;1:02:04.531;+9.592;+2.371;44;1:04.939;129.9;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
10;8;Classified;46;1:02:04.583;+9.644;+0.052;37;1:04.736;130.3;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;23;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
11;51;Classified;46;1:02:05.072;+10.133;+0.489;34;1:04.785;130.2;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;27;Kelvin;VAN DER LINDE;;ZAF;ZAF;VDL;;;;;;
12;21;Classified;46;1:02:05.366;+10.427;+0.294;39;1:04.481;130.8;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;26;Jordan;KING;;GBR;GBR;KIN;;;;;;
13;16;Classified;46;1:02:11.537;+16.598;+6.171;44;1:04.616;130.5;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;25;Paul;ARON;;EST;EST;ARO;;;;;;
14;33;Classified;46;1:02:18.209;+23.270;+6.672;38;1:05.213;129.3;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
15;5;Classified;46;1:02:50.477;+55.538;+32.268;46;1:03.663;132.5;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
16;3;Classified;45;1:02:01.396;1 Lap;1 Lap;38;1:04.706;130.4;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
17;18;Classified;45;1:02:08.199;1 Lap;+6.803;37;1:05.266;129.2;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;19;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
18;17;Classified;45;1:02:13.884;1 Lap;+5.685;43;1:02.972;133.9;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
;1;Not classified;38;54:14.068;;;22;1:04.310;131.2;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;3;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
;7;Not classified;28;37:11.011;;;25;1:05.508;128.8;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;6;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
;11;Not classified;20;28:16.106;;;20;1:06.047;127.7;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
;4;Not classified;9;10:11.354;;;5;1:05.574;128.6;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;24;Joel;ERIKSSON;;SWE;SWE;ERI;;;;;;
