POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;23;8;1:10.641;-;-;127.1;8;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;15;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
2;4;7;1:10.784;+0.143;+0.143;126.9;7;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;13;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
3;25;7;1:10.801;+0.160;+0.017;126.9;7;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;3;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
4;2;7;1:10.836;+0.195;+0.035;126.8;7;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;11;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
5;94;8;1:10.946;+0.305;+0.110;126.6;8;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
6;7;7;1:10.993;+0.352;+0.047;126.5;7;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;7;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
7;9;7;1:11.042;+0.401;+0.049;126.4;7;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
8;33;7;1:11.307;+0.666;+0.265;126.0;7;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;21;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
9;21;7;1:11.327;+0.686;+0.020;125.9;7;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
10;17;7;1:11.390;+0.749;+0.063;125.8;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;9;Norman;NATO;;FRA;FRA;NAT;;;;;;
11;13;7;1:11.662;+1.021;+0.272;125.3;7;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;19;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
