POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;23;8;1:17.115;-;-;140.1;8;Nissan Formula E Team;;A;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;1;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
2;7;5;1:17.194;+0.079;+0.079;140.0;9;DS PENSKE;;A;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;3;Maximilian;GÜNTHER;;GER;GER;GUE;;;;;;
3;8;8;1:17.196;+0.081;+0.002;140.0;8;NEOM McLaren Formula E Team;;A;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;9;Sam;BIRD;;GBR;GBR;BIR;;;;;;
4;33;8;1:17.240;+0.125;+0.044;139.9;8;Cupra Kiro;;A;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;15;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
5;3;8;1:17.267;+0.152;+0.027;139.8;8;Cupra Kiro;;A;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;21;David;BECKMANN;;GER;GER;BEC;;;;;;
6;1;7;1:17.298;+0.183;+0.031;139.8;8;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;7;Pascal;WEHRLEIN;;GER;GER;WEH;;;;;;
7;9;8;1:17.300;+0.185;+0.002;139.8;8;Jaguar TCS Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
8;37;8;1:17.479;+0.364;+0.179;139.4;8;Jaguar TCS Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;17;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
9;27;7;1:17.481;+0.366;+0.002;139.4;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;11;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
10;22;6;1:18.246;+1.131;+0.765;138.1;8;LOLA YAMAHA ABT Formula E Team;;A;;Lola T001;HANKOOK;;;;;;;;;;19;Zane;MALONEY;;BAR;BAR;MAL;;;;;;
;2;5;1:17.020;;;140.3;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;13;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
