POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;1;9;1:02.518;-;-;134.9;9;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
2;17;9;1:02.558;+0.040;+0.040;134.8;9;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
3;2;4;1:02.577;+0.059;+0.019;134.8;9;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;8;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
4;94;4;1:02.601;+0.083;+0.024;134.7;9;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
5;25;9;1:02.610;+0.092;+0.009;134.7;9;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
6;4;4;1:02.670;+0.152;+0.060;134.6;9;Envision Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;27;Joel;ERIKSSON;;SWE;SWE;ERI;;;;;;
7;18;9;1:02.693;+0.175;+0.023;134.5;9;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;20;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
8;3;9;1:02.761;+0.243;+0.068;134.4;9;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
9;23;8;1:02.827;+0.309;+0.066;134.3;9;Nissan Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
10;8;8;1:02.916;+0.398;+0.089;134.1;8;NEOM McLaren Formula E Team;;B;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;22;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
11;21;3;1:03.034;+0.516;+0.118;133.8;9;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;25;Jordan;KING;;GBR;GBR;KIN;;;;;;
