POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;37;9;1:02.544;-;-;134.9;9;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
2;7;9;1:02.639;+0.095;+0.095;134.7;9;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;7;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
3;9;4;1:02.655;+0.111;+0.016;134.6;9;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
4;48;9;1:02.655;+0.111;+0.000;134.6;9;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;19;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
5;13;9;1:02.717;+0.173;+0.062;134.5;9;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;10;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
6;11;4;1:02.729;+0.185;+0.012;134.5;9;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
7;5;9;1:02.754;+0.210;+0.025;134.4;9;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;12;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
8;22;9;1:02.757;+0.213;+0.003;134.4;9;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;3;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
9;33;4;1:02.789;+0.245;+0.032;134.3;9;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;17;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
10;16;4;1:02.918;+0.374;+0.129;134.1;10;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;26;Paul;ARON;;EST;EST;ARO;;;;;;
11;51;9;1:02.969;+0.425;+0.051;134.0;9;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;23;Kelvin;VAN DER LINDE;;ZAF;ZAF;VDL;;;;;;
