POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;8;1:10.395;-;-;106.4;8;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;8;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
2;9;6;1:10.509;+0.114;+0.114;106.2;8;Jaguar TCS Racing;;B;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;2;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
3;2;8;1:10.572;+0.177;+0.063;106.1;8;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;10;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
4;25;8;1:10.592;+0.197;+0.020;106.1;8;DS PENSKE;;B;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
5;13;9;1:10.597;+0.202;+0.005;106.1;9;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
6;17;6;1:10.745;+0.350;+0.148;105.8;8;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;12;Norman;NATO;;FRA;FRA;NAT;;;;;;
7;11;6;1:10.748;+0.353;+0.003;105.8;8;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;24;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
8;51;8;1:10.797;+0.402;+0.049;105.8;8;ABT CUPRA FORMULA E TEAM;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;14;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
9;3;8;1:10.840;+0.445;+0.043;105.7;8;ERT Formula E Team;;B;;ERT X24;HANKOOK;;;;;;;;;;20;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
10;48;6;1:10.966;+0.571;+0.126;105.5;8;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
11;21;6;1:10.983;+0.588;+0.017;105.5;8;MAHINDRA RACING;;B;;Mahindra M10Electro;HANKOOK;;;;;;;;;;18;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
