POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;13;Classified;27;36:21.519;-;-;26;1:11.062;161.6;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;7;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
2;4;Classified;27;36:21.851;+0.332;+0.332;26;1:10.650;162.5;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;12;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
3;9;Classified;27;36:24.713;+3.194;+2.862;25;1:11.399;160.8;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
4;94;Classified;27;36:24.781;+3.262;+0.068;25;1:11.438;160.8;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
5;25;Classified;27;36:25.202;+3.683;+0.421;25;1:11.581;160.4;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
6;51;Classified;27;36:25.304;+3.785;+0.102;26;1:11.365;160.9;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;14;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
7;17;Classified;27;36:26.406;+4.887;+1.102;27;1:11.569;160.5;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;Norman;NATO;;FRA;FRA;NAT;;;;;;
8;7;Classified;27;36:27.211;+5.692;+0.805;24;1:11.648;160.3;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;8;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
9;16;Classified;27;36:27.769;+6.250;+0.558;26;1:11.242;161.2;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;16;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
10;1;Classified;27;36:28.359;+6.840;+0.590;26;1:11.231;161.2;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;5;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
11;2;Classified;27;36:29.009;+7.490;+0.650;26;1:11.429;160.8;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;9;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
12;18;Classified;27;36:29.447;+7.928;+0.438;26;1:11.501;160.6;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;20;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
13;37;Classified;27;36:29.597;+8.078;+0.150;27;1:11.457;160.7;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;1;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
14;3;Classified;27;36:31.563;+10.044;+1.966;26;1:12.264;158.9;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;19;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
15;33;Classified;27;36:31.630;+10.111;+0.067;26;1:12.051;159.4;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;18;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
16;22;Classified;27;36:32.809;+11.290;+1.179;24;1:11.757;160.0;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;28;Caio;COLLET;;BRA;BRA;COL;;;;;;
17;11;Classified;27;36:34.094;+12.575;+1.285;24;1:11.864;159.8;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;24;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
18;23;Classified;27;36:42.147;+20.628;+8.053;23;1:12.256;158.9;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;15;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
;48;Not classified;24;32:55.028;;;21;1:11.890;159.7;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
;8;Not classified;20;29:18.522;;;20;1:12.968;157.4;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sam;BIRD;;GBR;GBR;BIR;;;;;;
;21;Not classified;20;31:43.301;;;20;1:12.074;159.3;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
;5;Not classified;12;15:17.264;;;6;1:13.490;156.3;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;10;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
