POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;37;7;1:17.907;-;-;156.3;7;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
2;4;7;1:17.983;+0.076;+0.076;156.1;7;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;11;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
3;51;7;1:18.000;+0.093;+0.017;156.1;7;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
4;25;4;1:18.020;+0.113;+0.020;156.1;7;DS PENSKE;;A;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;7;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
5;22;5;1:18.064;+0.157;+0.044;156.0;6;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;1;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
6;7;7;1:18.072;+0.165;+0.008;155.9;7;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;3;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
7;11;7;1:18.083;+0.176;+0.011;155.9;7;ABT CUPRA FORMULA E TEAM;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;19;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
8;17;7;1:18.107;+0.200;+0.024;155.9;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;9;Norman;NATO;;FRA;FRA;NAT;;;;;;
9;33;7;1:18.216;+0.309;+0.109;155.7;7;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;15;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
10;21;4;1:18.410;+0.503;+0.194;155.3;7;MAHINDRA RACING;;A;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
11;13;5;1:18.454;+0.547;+0.044;155.2;7;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
