POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;94;Classified;26;37:05.241;-;-;22;1:19.512;153.1;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
2;1;Classified;26;37:07.174;+1.933;+1.933;22;1:19.827;152.5;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
3;37;Classified;26;37:07.462;+2.221;+0.288;25;1:19.590;153.0;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;5;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
4;51;Classified;26;37:07.512;+2.271;+0.050;17;1:19.889;152.4;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;17;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
5;23;Classified;26;37:10.471;+5.230;+2.959;23;1:19.961;152.3;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;16;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
6;3;Classified;26;37:10.968;+5.727;+0.497;23;1:19.991;152.2;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;18;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
7;25;Classified;26;37:12.035;+6.794;+1.067;22;1:19.892;152.4;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;7;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
8;5;Classified;26;37:13.477;+8.236;+1.442;26;1:20.163;151.9;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;14;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
9;18;Classified;26;37:13.955;+8.714;+0.478;20;1:19.889;152.4;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;22;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
10;8;Classified;26;37:17.153;+11.912;+3.198;24;1:19.627;152.9;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;8;Sam;BIRD;;GBR;GBR;BIR;;;;;;
11;11;Classified;26;37:17.656;+12.415;+0.503;23;1:20.014;152.2;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;19;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
12;7;Classified;26;37:18.628;+13.387;+0.972;20;1:20.084;152.0;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;3;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
13;48;Classified;26;37:19.412;+14.171;+0.784;18;1:20.171;151.9;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;20;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
14;33;Classified;26;37:23.116;+17.875;+3.704;18;1:20.070;152.1;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;15;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
15;21;Classified;26;37:27.176;+21.935;+4.060;17;1:20.407;151.4;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;21;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
16;17;Classified;25;37:24.352;1 Lap;1 Lap;21;1:19.535;153.1;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;9;Norman;NATO;;FRA;FRA;NAT;;;;;;
17;13;Classified;25;37:48.196;1 Lap;+23.844;25;1:18.682;154.7;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;13;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
;9;Not classified;26;38:34.787;;;16;1:20.797;150.7;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;6;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
;22;Not classified;25;35:42.320;;;24;1:19.500;153.1;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;1;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
;2;Not classified;22;33:24.900;;;22;1:20.044;152.1;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;10;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
;16;Not classified;14;22:16.918;;;9;1:21.672;149.1;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;12;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
;4;Not classified;6;8:40.813;;;6;1:22.239;148.0;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;11;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
